date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_kmh,miss_distance_km,is_potentially_hazardous
2024-08-21,54466066,(2024 PQ4),23.62,0.0501828101,0.1122121746,75635.5766977102,10695186.637227664,False
2024-08-21,54467568,(2024 QL2),25.91,0.0174805453,0.0390876876,26977.819265754,2991935.184716305,False
2024-08-21,54467572,(2024 RD),26.78,0.0117099483,0.0261842403,18036.8989262122,511454.832058828,False
2024-08-21,54467957,(2024 RT),24.8,0.0291443905,0.0651688382,60134.891468647,5530123.663715632,False
2024-08-21,54468506,(2024 RK2),27.81,0.0072871041,0.0162944602,10336.2414100393,2970813.551209727,False
2024-08-21,54470177,(2024 RS10),22.2,0.096506147,0.2157943048,52947.2725049635,27695819.285079086,False
2024-08-21,54502147,(2024 WO12),23.57,0.0513517179,0.1148259319,24984.091665409,8877989.580629437,False
2024-08-21,54545440,(2025 SC),30.1,0.0025383703,0.0056759685,7836.7461328413,10391807.018798439,False
2024-08-26,3289173,(2005 QQ87),22.84,0.0718712133,0.1607089186,71641.1402564098,17625881.777527623,False
2024-08-26,54130764,(2021 ER2),25.44,0.0217047594,0.0485333175,43147.6844577689,64272933.71020249,False
2024-08-26,54193345,(2021 RZ3),27.33,0.0090898136,0.0203254411,40124.2095225108,46981331.589544072,False
2024-08-26,54196827,(2021 RF16),28.97,0.0042712499,0.009550805,63282.0843856019,47003037.058657899,False
2024-08-26,54240292,(2022 BS2),25.35,0.0226232491,0.0505871228,46780.7664332981,41590166.814188076,False
2024-08-26,54293323,(2022 OB10),22.98,0.067383719,0.1506745763,78028.5904147922,59362273.014787412,False
2024-08-26,54377574,(2023 QB2),26.25,0.0149470324,0.0334225806,19094.6486951617,16736376.253339059,False
2024-08-26,54460106,(2024 NE3),22.34,0.0904804968,0.2023205415,10813.792964991,40180531.875850864,False
2024-08-26,54465299,(2024 OU2),23.1,0.063760979,0.1425738833,11270.5618071813,39326633.950835227,False
2024-08-26,54466060,(2024 PF4),23.27,0.0589596608,0.1318378096,19584.4577820299,24433735.389826219,False
2024-08-26,54467483,(2024 QT1),27.68,0.0077366861,0.017299756,29437.9177949571,2332215.728794491,False
2024-08-26,54467962,(2024 RZ),25.29,0.0232570687,0.0520043867,50439.7018047532,5737919.787558963,False
2024-08-26,54469535,(2024 RY8),24.76,0.0296862251,0.0663804174,40258.4019025788,12007144.698144924,False
2024-08-26,54469545,(2024 RR9),24.77,0.0295498293,0.0660754271,34495.0165107149,15710592.559822324,False
2024-08-26,54471063,(2024 RV15),22.73,0.0756057762,0.1690596552,45355.5094594525,35549681.90876289,False
2024-08-26,54542539,(2025 QM9),26.28,0.0147419515,0.0329640056,39419.164477103,7525246.78705216,False
2024-08-22,2354182,354182 (2002 DU3),20.77,0.1864468183,0.41690776,27343.3333632784,13826234.018200781,True
